voted_up,review,playtime_forever
True,"Cyberpunk boiled down to bones is an upgraded version of GTA, full stop. For quests, instead of doing yoga or goofing off at a port doing nothing for hours like in GTA, you will have the most insane side quests AND get paid for it. Just to give a glimpse into what that could mean - you pick up an AI pistol off a dead guy in a shady alley and it makes you kill 50 people with it while it talks to you, you drive a creepy clown to a specific burrito vending machine (found everywhere in the city btw) only for him to kill the people standing in front of it for no reason, you eat Chinese food from a stand with a Japanese man and he calls it ♥♥♥♥ to the chef’s face, you use a light machine gun to mow down a homeless camp while they charge you, you have a street fight with a guy and take away his car in front of his pregnant girlfriend (dw tho, it makes sense and he ends up better off), the list just goes on. 

How is the game though? Overall it runs amazing and have had no major issues. One crash an hour in or something when I blew up 8 cars at the same time by accident (dropped a grenade when I went to change weapons into a car pile up). Never had an issue again. The city is beautiful, the quests are awesome, the game takes way over 100 hours to complete, the city and surrounding badlands is huge map wise (yes, you get fast travel points everywhere), the cars are fun, the clothing is awesome, the choices during conversations will require a few playthroughs (just bought the game for my main account so haven't finished the nomad one yet), the physics make sense, and the save button is the most used thing you will ever use (very very useful for going back if you screw up a convo or fight). For the story, it is a must play. 

Anything wrong with it? Yeah, nothing major but ""stuff happens"" sometimes. You could be on a hill trying to spawn in your car after a quest and it may explode on another car (nothing happens it's just annoying because you need to respawn it - ps it is NOT common), a quest could get stuck if you go into a cutscene and you weren't standing in the place they told you to be in (just reload last save, takes 4 seconds), people speaking can sometimes overlap (NPC 1 finishing their sentence and NPC 2 starts talking on the last word or something), loot can get stuck on bodies that you can't dispose of or loot, that kind of stuff. Most importantly, does it impact the gameplay? 100% no, it just ""happens"" and you reload and move on. 

Why the pos recommendation? The story and character development is worth it, full stop. Once you start, you can't put the game down because you want to complete the 270+ missions they have available. There is a LOT to do lol. 

^ With all the above said, any negatives? Yeah, this game is way too into LGBT stuff. One character that you do street races with added in randomly that they were trans for 0 reason (you can't tell at all btw, knowing the fact added nothing to the gameplay) and then they suddenly had a personality shift to get revenge on their partner's killer mid race despite the dude dying fair and square. Made 0 sense and was forced. You could also talk about this girl that has the EXACT same romance lines as if you were a woman (because she's apparently gay) and you don't find that out until the last quest where she leaves the city. The lines were double dipped and the devs were lazy there 100%. As a straight male, she just shuts you down out of left field. Last major character was this cop you did quests with. The game gives you an option to start a gay relationship with the guy, keep him as a friend, or leave entirely all in the same conversation prompt. Does the game force you to be gay or bi or whatever? Def NOT, but you will have the ""option"" to if you wanted it. Wish there was a feature to turn on a ""straight male"" mode to avoid it altogether but I guess they want night city to truly feel degenerate and without morals. ""No happy endings"" right? It does not impact your gameplay, it just makes it slightly annoying to see. I am totally hyperfocusing on this despite it not even being 1% of the game because it could have been perfect with an option to let you avoid all that stuff. 

Right, enough said about that. Cyberpunk is worth every dollar and you should dive right into night city choom. Thanks for reading and God bless.",95.56666666666666
True,"A true gaming experience. Wonderful dynamic storyline with many endings that depend on critical choices. Plenty of action that can be dealt with in so many interesting ways from hacking to pure violence, this game is for everyone. The real gem is the supported modding community that seems to churn out unique ways to change your playthrough each time. Cyberpunk 2077 will be remembered as a cult classic equal to similar games such as Fallout 4 and GTA. A high end PC is recommended.",1064.2333333333333
True,"the game is really great, definitely worth the money. its pretty good with replayability",89.11666666666666
True,This is a really fun experience,149.96666666666667
False,"16 Hours played. At least 4 crashes.  Clunky combat, strange keybinds, boring story.  Not really sure what the hype is about.",16.816666666666666
True,100/10,75.01666666666667
True,you can play as technology,0.75
True,PEAK.,78.53333333333333
True,Wild that this is now a perfect game,82.21666666666667
True,it good game,63.266666666666666
